startDate,timeStep,size,sizeNext,sizeChange,surv
10/3/05,0,46.47,66.63,20.16,1
10/3/05,0,32.41,59.52,27.11,1
10/3/05,0,22.88,39.15,16.27,1
10/3/05,0,31.14,59.29,28.15,1
10/3/05,0,29.78,56.36,26.58,1
10/3/05,0,23.63,43.93,20.3,1
10/3/05,0,26.35,40.82,14.47,1
10/3/05,0,41.33,72.32,30.99,1
10/3/05,0,33.52,64.77,31.25,1
10/3/05,0,29.86,52.01,22.15,1
10/3/05,0,27.1,50.54,23.44,1
10/3/05,0,28.76,56.74,27.98,1
10/3/05,0,30.04,46.91,16.87,1
10/3/05,0,25.32,48.63,23.31,1
10/3/05,0,35.57,61.88,26.31,1
10/3/05,0,47.41,76.04,28.63,1
10/3/05,0,31.48,69.04,37.56,1
10/3/05,0,36.59,60.73,24.14,1
10/3/05,0,24.2,56.09,31.89,1
10/3/05,0,31.11,48.92,17.81,1
10/3/05,0,32.05,58,25.95,1
10/3/05,0,30.62,71.03,40.41,1
10/3/05,0,31.4,54.85,23.45,1
10/3/05,0,32.03,58.12,26.09,1
10/3/05,0,36.04,57.31,21.27,1
10/3/05,0,25.79,NA,NA,0
10/3/05,0,33.67,54.74,21.07,1
10/3/05,0,33.11,62.36,29.25,1
10/3/05,0,41.85,66.68,24.83,1
10/3/05,0,39.61,NA,NA,0
10/3/05,0,33.46,58.57,25.11,1
10/3/05,0,30.38,50.07,19.69,1
10/3/05,0,40.96,74.01,33.05,1
10/3/05,0,43.39,NA,NA,0
10/3/05,0,25.1,46.2,21.1,1
10/3/05,0,26.22,NA,NA,0
10/3/05,0,38.81,61.86,23.05,1
10/3/05,0,34.29,50.8,16.51,1
10/3/05,0,25.94,49.38,23.44,1
10/3/05,0,23.86,39.25,15.39,1
10/3/05,0,32.49,58.08,25.59,1
10/3/05,0,20.08,46.59,26.51,1
10/3/05,0,32.91,66.08,33.17,1
10/3/05,0,27.77,39.81,12.04,1
10/3/05,0,40.14,53.99,13.85,1
10/3/05,0,45.93,64.01,18.08,1
10/3/05,0,27.53,52.55,25.02,1
10/3/05,0,31.84,42.17,10.33,1
10/3/05,0,33.26,56.53,23.27,1
10/3/05,0,30.98,NA,NA,0
10/3/05,0,36.16,52.48,16.32,1
10/3/05,0,36.44,52.76,16.32,1
10/3/05,0,29.31,42.71,13.4,1
10/3/05,0,40.51,63.02,22.51,1
10/3/05,0,34.98,53.3,18.32,1
10/3/05,0,29.28,45.85,16.57,1
10/3/05,0,34.54,56.06,21.52,1
10/3/05,0,32.37,NA,NA,0
10/3/05,0,33.92,77.12,43.2,1
10/3/05,0,34.69,59.62,24.93,1
10/3/05,0,28.18,49.77,21.59,1
10/3/05,0,26.98,NA,NA,0
10/3/05,0,34.11,66.94,32.83,1
10/3/05,0,34.32,53.34,19.02,1
10/3/05,0,37.51,57.19,19.68,1
10/3/05,0,27.94,48.85,20.91,1
10/3/05,0,37.31,63.22,25.91,1
10/3/05,0,29.3,56.66,27.36,1
10/3/05,0,27.5,42.85,15.35,1
10/3/05,0,38.81,60.29,21.48,1
10/3/05,0,41.15,69.25,28.1,1
10/3/05,0,30.42,55.74,25.32,1
10/3/05,0,30.41,53.78,23.37,1
10/3/05,0,22.77,41.68,18.91,1
10/3/05,0,41.41,74.8,33.39,1
10/3/05,0,22.65,43.22,20.57,1
10/3/05,0,33.33,58.54,25.21,1
10/3/05,0,26.95,47.16,20.21,1
10/3/05,0,35.18,57.07,21.89,1
10/3/05,0,37.71,56.03,18.32,1
10/3/05,0,31.73,55.11,23.38,1
10/3/05,0,37.98,65.38,27.4,1
10/3/05,0,38.2,NA,NA,0
10/3/05,0,19.82,44.22,24.4,1
10/3/05,0,22.18,49.83,27.65,1
10/3/05,0,36.12,62.69,26.57,1
10/3/05,0,32.65,52.87,20.22,1
10/3/05,0,24.28,47.04,22.76,1
10/3/05,0,28.58,41.56,12.98,1
10/3/05,0,33.75,60.52,26.77,1
10/3/05,0,41.71,74.25,32.54,1
10/3/05,0,30.29,59.63,29.34,1
10/3/05,0,27.1,55.14,28.04,1
10/3/05,0,30.24,60.64,30.4,1
10/3/05,0,36.82,66.46,29.64,1
10/3/05,0,32.04,62.3,30.26,1
10/3/05,0,42.74,64.89,22.15,1
10/3/05,0,32.67,52.38,19.71,1
10/3/05,0,30.57,53.84,23.27,1
10/3/05,0,23.31,46.4,23.09,1
10/3/05,0,47.14,64.34,17.2,1
10/3/05,0,37.37,44.55,7.18,1
10/3/05,0,41.21,64.63,23.42,1
10/3/05,0,31.79,43.02,11.23,1
10/3/05,0,31.2,53.48,22.28,1
10/3/05,0,29.02,48.43,19.41,1
10/3/05,0,38.68,68.3,29.62,1
10/3/05,0,29.71,47.77,18.06,1
10/3/05,0,22.58,47.71,25.13,1
10/3/05,0,24.35,42.56,18.21,1
10/3/05,0,18.98,42.5,23.52,1
10/3/05,0,31.63,49.73,18.1,1
10/3/05,0,33.05,56.73,23.68,1
10/3/05,0,19.48,40.18,20.7,1
10/3/05,0,35.18,72.23,37.05,1
10/3/05,0,26.82,50.83,24.01,1
10/3/05,0,35.24,59.48,24.24,1
10/3/05,0,26.24,48.81,22.57,1
10/3/05,0,41.94,72.86,30.92,1
10/3/05,0,34.47,65.53,31.06,1
10/3/05,0,30.35,44.43,14.08,1
10/3/05,0,29.17,50.66,21.49,1
10/3/05,0,28.51,51.9,23.39,1
10/3/05,0,23.2,NA,NA,0
10/3/05,0,40.12,62.1,21.98,1
10/3/05,0,34.51,54.91,20.4,1
10/3/05,0,33.53,57.21,23.68,1
10/3/05,0,40.66,65.46,24.8,1
10/3/05,0,27.47,36.82,9.35,1
10/3/05,0,29.42,53.3,23.88,1
10/3/05,0,46.87,87.59,40.72,1
10/3/05,0,24.6,49.02,24.42,1
10/3/05,0,27.14,53.21,26.07,1
10/3/05,0,35.73,63.19,27.46,1
10/3/05,0,27.81,45.53,17.72,1
10/3/05,0,30.51,50.96,20.45,1
10/3/05,0,31.58,46.78,15.2,1
10/3/05,0,29.38,39.09,9.71,1
10/3/05,0,39.79,72.92,33.13,1
10/3/05,0,39.2,56.84,17.64,1
10/3/05,0,30.93,57.86,26.93,1
10/3/05,0,34.77,54.54,19.77,1
10/3/05,0,31.07,56.14,25.07,1
10/3/05,0,37.79,58.79,21,1
10/3/05,0,39.31,54.41,15.1,1
10/3/05,0,29.96,61.07,31.11,1
