lengthLow,lengthHigh,midShellLength,shellLength,ratio1,ratio2,ratio3,ratio4,propF1,propF2,propF3,propF4
1.6,3.99,2.795,2.8,1,1,1,1,0,0,0,0
4,4.99,4.495,4.5,0.5,0.97,0.526,0.857,0.5,0.03,0.474,0.143
5,5.99,5.495,5.5,0.8,0.92,0.667,0.643,0.2,0.08,0.333,0.357
6,6.99,6.495,6.5,0.636,0.85,0.563,0.667,0.364,0.15,0.437,0.333
7,7.99,7.495,7.5,0.727,0.75,0.484,0.571,0.273,0.25,0.516,0.429
8,8.99,8.495,8.5,0.357,0.703,0.52,0.664,0.643,0.297,0.48,0.336
9,9.99,9.495,9.5,0.417,0.657,0.4,0.576,0.583,0.343,0.6,0.424
10,10.99,10.495,10.5,0.375,0.42,0.438,0.527,0.625,0.58,0.562,0.473
11,11.99,11.495,11.5,0.304,0.411,0.386,0.447,0.696,0.589,0.614,0.553
12,12.99,12.495,12.5,0.308,0.388,0.375,0.647,0.692,0.612,0.625,0.353
13,13.99,13.495,13.5,0,0.475,0.276,0.5,1,0.525,0.724,0.5
14,14.99,14.495,14.5,0.2,0.185,0.417,0.579,0.8,0.815,0.583,0.421
15,15.99,15.495,15.5,0,0.4,0.4,0.688,1,0.6,0.6,0.312
16,16.99,16.495,16.5,0,0.308,0.5,0,1,0.692,0.5,1
17,17.99,17.495,17.5,0,0.3,0,0.571,1,0.7,1,0.429
18,18.99,18.495,18.5,0,0.2,0,0.333,1,0.8,1,0.667
19,19.99,19.495,19.5,0,0.5,0,0.4,1,0.5,1,0.6
20,,20,20,0,0.071,0,0.25,1,0.929,1,0.75
