rhoVal,alphaVal,deltaVal,Leqs,Neqs,Heqs,initH,oystersAdded,a,tolCond,num.calcs
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,28134060.79,1,8100.79,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,13459153.35,2,3434.33,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,9870100.556,3,821.48,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,8318258.574,4,9638.77,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,7615593.177,5,4061.65,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,7448258.366,6,3718.55,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,7808306.012,7,3636.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,9005477.929,8,7625.3,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,0,12659556.13,9,4397.21,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,18150386.88,1,3118.09,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,8745065.553,2,2215.62,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,6503155.056,3,133.44,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,5530698.398,4,793.84,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,5079708.831,5,2700.54,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,4953212.176,6,2480.33,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,5124929.98,7,2418.56,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,5739270.952,8,1251.2,150
low,estimate,low,15305.60448,4257228.692,81255.28818,0,7497763.395,9,1401.19,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,34529950.02,1,1377.29,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,16470432.09,2,2107.54,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,12011030.43,3,4021.1,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,10081524.08,4,5864.76,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,9210220.485,5,4922.62,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,9021339.011,6,8994.36,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,9510288.537,7,4404.95,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,11117007.21,8,9287.39,150
low,estimate,high,54084.95576,15043641.42,42475.9369,0,16192398.68,9,5428.23,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,118064.3971,1,29.54,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,56582.13172,2,28.82,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,41549.04949,3,3.45,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,35036.72288,4,20.29,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,31871.78454,5,17.11,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,30687.09723,6,1.95,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,31226.28474,7,0.23,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,34016.52405,8,15.25,150
estimate,estimate,mid,144.9929895,40329.56139,207.1008603,0,41640.34462,9,16.61,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,86934.85779,1,8.53,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,42085.19437,2,2.65,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,31497.11019,3,5.14,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,26867.89624,4,15.38,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,24604.85322,5,6.56,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,23727.82476,6,12.01,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,24023.26399,7,5.79,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,25779.84787,8,2.93,150
estimate,estimate,low,55.80943855,15523.30347,296.2844113,0,30550.63026,9,12.59,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,137795.1436,1,10.04,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,65659.58779,2,8.41,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,47737.8546,3,32.06,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,39975.79133,4,23.31,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,36208.54146,5,19.52,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,34829.50522,6,35.36,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,35475.7558,7,34.01,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,38862.23542,8,8.66,150
estimate,estimate,high,197.2121401,54854.23217,154.8817098,0,48340.59801,9,9.49,150
