rhoVal,alphaVal,deltaVal,Leqs,Neqs,Heqs,initH,oystersAdded,popDist,tolCond,num.calcs
low,estimate,mid,39763.97913,11060285.35,56796.91352,20000,12417854.11,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,21000,12374065.12,distEq,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,22000,12330783.75,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,23000,12287940.78,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,24000,12245559.27,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,25000,12203583.87,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,26000,12162009.94,distEq,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,27000,12120888.25,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,28000,12080168.04,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,29000,12039872.39,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,30000,11999982.83,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,31000,11960434.76,distEq,9.23,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,32000,11921306.63,distEq,4.61,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,33000,11882584.59,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,34000,11844208.66,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,35000,11806201.9,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,36000,11768582.78,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,37000,11731332.84,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,38000,11694415.15,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,39000,11657829.72,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,40000,11621613.48,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,41000,11585729.49,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,42000,11550177.75,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,43000,11514995.2,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,44000,11480052.61,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,45000,11445479.2,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,46000,11411219.59,distEq,36.92,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,47000,11377273.78,distEq,18.46,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,48000,11343697.14,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,49000,11310323.55,distEq,73.84,150
low,estimate,mid,39763.97913,11060285.35,56796.91352,50000,11277282.22,distEq,36.92,150
