Location,Date,LVL (mm),Mean # Eggs
WB,5/1/07,12,104.1667
WB,5/1/07,14.3,44.3333
WB,5/1/07,23.6,1333
WB,5/1/07,24.4,53.3333
WB,5/1/07,24.9,705.6667
WB,5/1/07,24.9,4916.6667
WB,5/1/07,26.4,332
WB,5/1/07,26.4,1060
WB,5/1/07,28.7,1921
WB,5/1/07,29.6,5886
WB,5/1/07,33.2,4032
WB,5/1/07,33.6,2738.3333
WB,5/1/07,33.9,1056
WB,5/1/07,34.2,11120
WB,5/1/07,35,5780
WB,5/1/07,38.4,1075
WB,5/1/07,38.7,3578.3333
WB,5/1/07,39.7,19933.3333
WB,5/1/07,40.3,593.3333
WB,5/1/07,40.4,3249
WB,5/1/07,41,7384
WB,5/1/07,41.2,300
WB,5/1/07,41.2,3735
WB,5/1/07,43.3,1218
WB,5/1/07,44.6,1843
WB,5/1/07,44.9,36703.3333
WB,5/1/07,46.8,3960
WB,5/1/07,47,2955.3333
WB,5/1/07,47.5,3082
WB,5/1/07,50.5,13286
WB,5/1/07,51.1,4992
WB,5/1/07,51.8,7031.3333
WB,5/1/07,52.7,2240
WB,5/1/07,53.2,7776
WB,5/1/07,54,3833.3333
WB,5/1/07,54.9,2386.6667
WB,5/1/07,55,429.3333
WB,5/1/07,55.2,463.3333
WB,5/1/07,55.8,11163
WB,5/1/07,56.6,7066.6667
WB,5/1/07,57.5,8320
WB,5/1/07,57.5,25186
WB,5/1/07,57.8,16052.6667
WB,5/1/07,58.3,62666.6667
WB,5/1/07,59,7800
WB,5/1/07,62.7,4536
WB,5/1/07,63.2,114604.6667
WB,5/1/07,63.3,18334
WB,5/1/07,63.9,18880
WB,5/1/07,64,17296
WB,5/1/07,64.4,13120
WB,5/1/07,64.7,12416.6667
WB,5/1/07,65.4,206
WB,5/1/07,65.9,1786.3333
WB,5/1/07,66.2,1532.6667
WB,5/1/07,67,14516.6667
WB,5/1/07,67.4,832.5
WB,5/1/07,67.4,3083.6667
WB,5/1/07,67.9,10726
WB,5/1/07,68,15353.3333
WB,5/1/07,68.2,17578.6667
WB,5/1/07,71.1,7980
WB,5/1/07,72.7,12934.6667
WB,5/1/07,74.1,10383.3333
WB,5/1/07,75.4,5877.3333
WB,5/1/07,75.8,27170
WB,5/1/07,81.5,9386.6667
WB,5/1/07,82.3,13398
WB,5/1/07,83.4,13720
WB,5/1/07,84,6355.5
WB,5/1/07,84.7,10340
WB,5/1/07,87,82249.6667
WB,5/1/07,88.7,49155
WB,5/1/07,88.8,29526.3333
WB,5/1/07,92.8,19412
WB,5/1/07,94.2,170506.6667
WB,5/1/07,96.6,29340
WB,5/1/07,99.1,47704
WB,5/1/07,99.4,8974.6667
WB,5/1/07,105.5,149.3333
WB,5/1/07,106.9,8840
WB,5/1/07,108.6,3344.6667
WB,5/1/07,117,91706.6667
WB,5/1/07,117.1,39343.3333
WB,5/1/08,23,28.6667
WB,5/1/08,28.1,508.3333
WB,5/1/08,29.8,1026
WB,5/1/08,36.1,7068
WB,5/1/08,36.6,2405.3333
WB,5/1/08,36.7,1332
WB,5/1/08,37.4,276.6667
WB,5/1/08,37.8,315
WB,5/1/08,38,1500
WB,5/1/08,39,1300
WB,5/1/08,39.8,221.3333
WB,5/1/08,40.7,186.6667
WB,5/1/08,40.8,5010
WB,5/1/08,41,840
WB,5/1/08,41.2,260.3333
WB,5/1/08,42.3,696.6667
WB,5/1/08,42.4,2480
WB,5/1/08,42.9,1501.6667
WB,5/1/08,49,11685.3333
WB,5/1/08,49.3,1605.3333
WB,5/1/08,49.4,924
WB,5/1/08,49.9,566.6667
WB,5/1/08,50.2,306
WB,5/1/08,50.5,3408
WB,5/1/08,50.8,7676.6667
WB,5/1/08,51.6,1463
WB,5/1/08,52.2,1870
WB,5/1/08,52.3,14150
WB,5/1/08,52.6,4057.3333
WB,5/1/08,53.3,1318.6667
WB,5/1/08,53.5,1820
WB,5/1/08,54.5,3146.6667
WB,5/1/08,54.8,970.3333
WB,5/1/08,55,754
WB,5/1/08,57.3,989
WB,5/1/08,57.8,506.6667
WB,5/1/08,57.8,801.6667
WB,5/1/08,58.2,1880
WB,5/1/08,59.9,3382.6667
WB,5/1/08,61.8,22040
WB,5/1/08,62,16600
WB,5/1/08,62.2,2940
WB,5/1/08,62.5,7310
WB,5/1/08,64.1,3536
WB,5/1/08,65.2,3534
WB,5/1/08,65.9,2301
WB,5/1/08,66.2,2214.3333
WB,5/1/08,66.5,7008
WB,5/1/08,67.9,208
WB,5/1/08,68.1,1102
WB,5/1/08,68.3,30703.3333
WB,5/1/08,68.9,14835.3333
WB,5/1/08,69.9,3093.3333
WB,5/1/08,71.4,16243.3333
WB,5/1/08,72.4,16412
WB,5/1/08,72.5,69344
WB,5/1/08,74.3,714
WB,5/1/08,74.3,18946.3333
WB,5/1/08,74.3,33749.3333
WB,5/1/08,74.8,24928
WB,5/1/08,75.6,21018.6667
WB,5/1/08,76.2,6513
WB,5/1/08,76.5,6858
WB,5/1/08,76.5,18029
WB,5/1/08,77.7,52805
WB,5/1/08,81.1,63540
WB,5/1/08,84.1,46728
WB,5/1/08,84.5,34906.6667
WB,5/1/08,85.7,24405.3333
WB,5/1/08,86.3,60204
WB,5/1/08,88.8,14718
WB,5/1/08,94.6,210504
WB,5/1/08,97.6,142666.6667
WB,5/1/08,112.2,65216.6667
WB,5/1/08,112.4,68728
WB,5/1/08,114.3,95480
WB,5/1/08,115.3,181106.6667
WB,5/1/08,122.8,153048.6667
