site,size,number,freq
WB,0,0,0
WB,5,0,0
WB,10,2,0.003076923
WB,15,31,0.047692308
WB,20,63,0.096923077
WB,25,70,0.107692308
WB,30,59,0.090769231
WB,35,74,0.113846154
WB,40,54,0.083076923
WB,45,38,0.058461538
WB,50,47,0.072307692
WB,55,42,0.064615385
WB,60,36,0.055384615
WB,65,30,0.046153846
WB,70,32,0.049230769
WB,75,20,0.030769231
WB,80,18,0.027692308
WB,85,13,0.02
WB,90,6,0.009230769
WB,95,8,0.012307692
WB,100,2,0.003076923
WB,105,1,0.001538462
WB,110,1,0.001538462
WB,115,1,0.001538462
WB,120,1,0.001538462
WB,125,1,0.001538462
WB,130,0,0
WB,135,0,0
WB,140,0,0
WB,145,0,0
WB,150,0,0
